"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\members.lang","AddSubscription","Create contribution","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ADHERENT_PRODUCT_ID_FOR_SUBSCRIPTIONS","Product used for membership line into invoice: %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","AmountIsLowerToMinimumNotice","The amount is lower than the minimum %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","AmountOfSubscriptions","Amount collected from membership payments","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","AnyAmountWithAdvisedAmount","Any amount of your choice, recommended %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","AnyAmountWithoutAdvisedAmount","Any amount of your choice","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","AreYouAPreferredPartner","Are you (or plan to be) a %s","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","BlankSubscriptionForm","Public self-registration form","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","BlankSubscriptionFormDesc","Dolibarr can provide you a public URL/website to allow external visitors to ask to subscribe to the foundation. If an online payment module is enabled, a payment form may also be automatically provided.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ByProperties","By nature","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","CanEditAmount","Membership amount can be defined by the member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","CanEditAmountDetail","Visitor can choose/edit amount of its contribution regardless of the member type","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","CanEditAmountShort","Any amount","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","CanEditAmountShortForValues","recommended, any amount","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","CardContent","Content of your member card","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ConfirmCreateMember","Confirm create member","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\members.lang","ConfirmDeleteMember","Are you sure you want to delete this member (Deleting a member will delete all his contributions)?","","needs_translation","Direct en_US vs ms_MY gap"
