"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\products.lang","ActionAvailableOnVariantProductOnly","Action only available on the variant of product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AddCustomerPrice","Add price by customer","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AddUpdater","Add Updater","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AddVariable","Add Variable","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AllowStockMovementVariantParent","Also records stock movements on parent products of variant products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AllowStockMovementVariantParentHelp","By default, a parent of a variant is a virtual product, so no stock is managed for it. By enabling this option, a stock will be managed for parent products and each time a stock quantity is modified for a variant product, the same quantity will be modified for the parent product. You should not need this option, except if you are using variant to manage the same product than parent (but with different descriptions, prices...)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AlwaysUseFixedPrice","Use the fixed price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AlwaysUseNewPrice","Always use current price of product/service","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AmountUsedToUpdateWAP","Unit amount to use to update the Weighted Average Price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AppliedPricesFrom","Applied from","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AppliedPricesTo","Applied until","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ApplyToAllPriceImpactLevel"," Apply to all levels","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ApplyToAllPriceImpactLevelHelp","By clicking here you set the same price impact on all levels","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AssociatedProducts","Kits","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AssociatedProductsAbility","Enable Kits (set of several products)","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","AssociatedProductsNumber","Number of products composing this kit","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Attributes","Attributes","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BarCodeDataForProduct","Barcode information of product %s:","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BarCodeDataForThirdparty","Barcode information of third party %s:","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BarCodePrintsheet","Print barcodes","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BarcodeValue","Barcode value","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Build","Produce","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BuildPageToPrint","Generate page to print","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BuyingPrice","Buying price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","BuyingPrices","Buying prices","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CantBeLessThanMinPrice","The selling price can't be lower than minimum allowed for this product (%s without tax). This message can also appear if you type a significant discount.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CantBeLessThanMinPriceInclTax","The selling price can't be lower than minimum allowed for this product (%s including taxes). This message can also appears if you type a too important discount.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CardProduct0","Product","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CardProduct1","Service","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CategoryFilter","Search by category","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ClinkOnALinkOfColumn","Click on a link of column %s to get a detailed view...","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CloneCategoriesProduct","Clone linked tags/categories","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CloneCombinationsProduct","Clone the product variants","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CloneCompositionProduct","Clone virtual products/services","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CloneContentProduct","Clone all main information of the product/service","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CloneDestinationReference","Destination product reference","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ClonePricesProduct","Clone prices","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ComposedProduct","Child products","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ComposedProductIncDecStock","Increase/Decrease stock on parent change","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmCloneProduct","Are you sure you want to clone product or service <b>%s</b>?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmCloneProductCombinations","Would you like to copy all the product variants to the other parent product with the given reference?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmDeleteProduct","Are you sure you want to delete this product/service?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmDeleteProductBuyPrice","Are you sure you want to delete this buying price?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmDeleteProductLine","Are you sure you want to delete this product line?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmEditExtrafield"," Select the extrafield you want modify","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmEditExtrafieldQuestion"," Are you sure you want to modify this extrafield?","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmMergeProducts","Are you sure you want to merge the chosen product with the current one? All linked objects (invoices, orders, ...) will be moved to the current product, after which the chosen product will be deleted.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ConfirmSetToDraftInventory","Are you sure you want to go back to Draft status?<br>The quantities currently set in the inventory will be reset.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","ContractStatusClosed","Closed","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CorrectlyUpdated","Correctly updated","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CostPriceDescription","This price field (excl. tax) can be used to capture the average amount this product costs to your company. It may be any price you calculate yourself, for example, from the average buying price plus average production and distribution cost.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CostPriceUsage","This value could be used for margin calculation.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CountryOrigin","Country of origin","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","Create","Create","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CurrentProductPrice","Current price","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CustomerPrices","Customer prices","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CustomsCode","Customs nomenclature","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","CustomsCodeHelp","The code used by customs. Also called the Commodity code, HS code or TARIC code.","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","d","d","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","day","day","","needs_translation","Direct en_US vs ms_MY gap"
"lang\ms_MY\products.lang","DefaultBOM","Default BOM","","needs_translation","Direct en_US vs ms_MY gap"
