"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang\ms_MY\products.lang","ActionAvailableOnVariantProductOnly","Action only available on the variant of product","Tindakan hanya tersedia pada varian produk","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AddCustomerPrice","Add price by customer","Tambah harga mengikut pelanggan","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AddUpdater","Add Updater","Tambah Pengemas Kini","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AddVariable","Add Variable","Tambah Pemboleh Ubah","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AllowStockMovementVariantParent","Also records stock movements on parent products of variant products","Rekodkan juga pergerakan stok pada produk induk bagi produk varian","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AllowStockMovementVariantParentHelp","By default, a parent of a variant is a virtual product, so no stock is managed for it. By enabling this option, a stock will be managed for parent products and each time a stock quantity is modified for a variant product, the same quantity will be modified for the parent product. You should not need this option, except if you are using variant to manage the same product than parent (but with different descriptions, prices...)","Secara lalai, induk bagi varian ialah produk maya, jadi stok tidak diuruskan untuknya. Dengan mengaktifkan pilihan ini, stok akan diuruskan untuk produk induk dan setiap kali kuantiti stok diubah bagi produk varian, kuantiti yang sama akan diubah untuk produk induk. Anda biasanya tidak memerlukan pilihan ini, kecuali jika anda menggunakan varian untuk mengurus produk yang sama seperti produk induk tetapi dengan penerangan, harga dan lain-lain yang berbeza.","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AlwaysUseFixedPrice","Use the fixed price","Gunakan harga tetap","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AlwaysUseNewPrice","Always use current price of product/service","Sentiasa gunakan harga semasa produk/perkhidmatan","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AmountUsedToUpdateWAP","Unit amount to use to update the Weighted Average Price","Jumlah unit untuk digunakan bagi mengemas kini Harga Purata Berwajaran","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AppliedPricesFrom","Applied from","Berkuat kuasa dari","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AppliedPricesTo","Applied until","Berkuat kuasa hingga","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","ApplyToAllPriceImpactLevel"," Apply to all levels","Gunakan pada semua peringkat","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","ApplyToAllPriceImpactLevelHelp","By clicking here you set the same price impact on all levels","Dengan mengklik di sini, anda menetapkan kesan harga yang sama pada semua peringkat","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AssociatedProducts","Kits","Kit","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AssociatedProductsAbility","Enable Kits (set of several products)","Aktifkan Kit (set beberapa produk)","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","AssociatedProductsNumber","Number of products composing this kit","Bilangan produk yang membentuk kit ini","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","Attributes","Attributes","Atribut","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BarCodeDataForProduct","Barcode information of product %s:","Maklumat kod bar produk %s:","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BarCodeDataForThirdparty","Barcode information of third party %s:","Maklumat kod bar Pihak Ketiga %s:","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BarCodePrintsheet","Print barcodes","Cetak kod bar","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BarcodeValue","Barcode value","Nilai kod bar","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","Build","Produce","Hasilkan","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BuildPageToPrint","Generate page to print","Jana halaman untuk dicetak","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BuyingPrice","Buying price","Harga belian","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","BuyingPrices","Buying prices","Harga belian","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CantBeLessThanMinPrice","The selling price can't be lower than minimum allowed for this product (%s without tax). This message can also appear if you type a significant discount.","Harga jualan tidak boleh lebih rendah daripada minimum yang dibenarkan untuk produk ini (%s tanpa cukai). Mesej ini juga boleh muncul jika anda memasukkan diskaun yang besar.","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CantBeLessThanMinPriceInclTax","The selling price can't be lower than minimum allowed for this product (%s including taxes). This message can also appears if you type a too important discount.","Harga jualan tidak boleh lebih rendah daripada minimum yang dibenarkan untuk produk ini (%s termasuk cukai). Mesej ini juga boleh muncul jika anda memasukkan diskaun yang terlalu besar.","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CardProduct0","Product","Produk","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CardProduct1","Service","Perkhidmatan","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CategoryFilter","Search by category","Cari mengikut kategori","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","ClinkOnALinkOfColumn","Click on a link of column %s to get a detailed view...","Klik pada pautan lajur %s untuk mendapatkan paparan terperinci...","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CloneCategoriesProduct","Clone linked tags/categories","Klon tag/kategori yang dipautkan","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CloneCombinationsProduct","Clone the product variants","Klon varian produk","ready","Sprint 22B-1 products.lang"
"lang\ms_MY\products.lang","CloneCompositionProduct","Clone virtual products/services","Klon produk/perkhidmatan maya","ready","Sprint 22B-1 products.lang"
