"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang/ms_MY/projects.lang","RefProject","Ref. project","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectId","Project Id","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsArea","Projects Area","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","SharedProject","Everybody","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","PrivateProject","Assigned contacts","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsImContactFor","Projects for which I am explicitly a contact","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllAllowedProjects","All project I can read (mine + public)","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllProjects","All projects","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","MyProjectsDesc","This view is limited to the projects that you are a contact for","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsPublicDesc","This view presents all projects you are allowed to read.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksOnProjectsPublicDesc","This view presents all tasks on projects you are allowed to read.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsPublicTaskDesc","This view presents all projects and tasks you are allowed to read.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsDesc","This view presents all projects (your user permissions grant you permission to view everything).","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksOnProjectsDesc","This view presents all tasks on all projects (your user permissions grant you permission to view everything).","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","MyTasksDesc","This view is limited to the projects or tasks that you are a contact for","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OnlyOpenedProject","Only open projects are visible (projects in draft or closed status are not visible).","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ClosedProjectsAreHidden","Closed projects are not visible.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksPublicDesc","This view presents all projects and tasks you are allowed to read.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksDesc","This view presents all projects and tasks (your user permissions grant you permission to view everything).","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllTaskVisibleButEditIfYouAreAssigned","All tasks for qualified projects are visible, but you can enter time only for task assigned to selected user. Assign task if you need to enter time on it.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OnlyYourTaskAreVisible","Only tasks assigned to you are visible. If you need to enter time on a task and if the task is not visible here, then you need to assign the task to yourself.","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ImportDatasetProjects","Projects or opportunities","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ImportDatasetTasks","Tasks of projects","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectCategories","Project tags/categories","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","DeleteAProject","Delete a project","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","DeleteATask","Delete a task","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ConfirmDeleteAProject","Are you sure you want to delete this project?","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ConfirmDeleteATask","Are you sure you want to delete this task?","","missing","Sprint 22C projects.lang + install.lang bulk batch 6"
