"TargetFile","Key","SourceEnglish","ProposedMalay","Status","Note"
"lang/ms_MY/projects.lang","RefProject","Ref. project","Ruj. projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectId","Project Id","ID Projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsArea","Projects Area","Ruang Projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","SharedProject","Everybody","Semua orang","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","PrivateProject","Assigned contacts","Kenalan yang ditugaskan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsImContactFor","Projects for which I am explicitly a contact","Projek yang mana saya dinyatakan sebagai kenalan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllAllowedProjects","All project I can read (mine + public)","Semua projek yang boleh saya baca (milik saya + awam)","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllProjects","All projects","Semua projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","MyProjectsDesc","This view is limited to the projects that you are a contact for","Paparan ini terhad kepada projek yang anda menjadi kenalan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsPublicDesc","This view presents all projects you are allowed to read.","Paparan ini menunjukkan semua projek yang anda dibenarkan baca.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksOnProjectsPublicDesc","This view presents all tasks on projects you are allowed to read.","Paparan ini menunjukkan semua tugasan bagi projek yang anda dibenarkan baca.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsPublicTaskDesc","This view presents all projects and tasks you are allowed to read.","Paparan ini menunjukkan semua projek dan tugasan yang anda dibenarkan baca.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectsDesc","This view presents all projects (your user permissions grant you permission to view everything).","Paparan ini menunjukkan semua projek (kebenaran pengguna anda membenarkan anda melihat semuanya).","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksOnProjectsDesc","This view presents all tasks on all projects (your user permissions grant you permission to view everything).","Paparan ini menunjukkan semua tugasan bagi semua projek (kebenaran pengguna anda membenarkan anda melihat semuanya).","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","MyTasksDesc","This view is limited to the projects or tasks that you are a contact for","Paparan ini terhad kepada projek atau tugasan yang anda menjadi kenalan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OnlyOpenedProject","Only open projects are visible (projects in draft or closed status are not visible).","Hanya projek terbuka dipaparkan (projek berstatus draf atau ditutup tidak dipaparkan).","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ClosedProjectsAreHidden","Closed projects are not visible.","Projek yang ditutup tidak dipaparkan.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksPublicDesc","This view presents all projects and tasks you are allowed to read.","Paparan ini menunjukkan semua projek dan tugasan yang anda dibenarkan baca.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","TasksDesc","This view presents all projects and tasks (your user permissions grant you permission to view everything).","Paparan ini menunjukkan semua projek dan tugasan (kebenaran pengguna anda membenarkan anda melihat semuanya).","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","AllTaskVisibleButEditIfYouAreAssigned","All tasks for qualified projects are visible, but you can enter time only for task assigned to selected user. Assign task if you need to enter time on it.","Semua tugasan bagi projek yang layak boleh dilihat, tetapi anda hanya boleh memasukkan masa untuk tugasan yang ditugaskan kepada pengguna terpilih. Tugaskan tugasan jika anda perlu memasukkan masa padanya.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OnlyYourTaskAreVisible","Only tasks assigned to you are visible. If you need to enter time on a task and if the task is not visible here, then you need to assign the task to yourself.","Hanya tugasan yang ditugaskan kepada anda dipaparkan. Jika anda perlu memasukkan masa pada tugasan dan tugasan itu tidak dipaparkan di sini, anda perlu menugaskan tugasan itu kepada diri sendiri.","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ImportDatasetProjects","Projects or opportunities","Projek atau peluang","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ImportDatasetTasks","Tasks of projects","Tugasan projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ProjectCategories","Project tags/categories","Tag/kategori projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","DeleteAProject","Delete a project","Hapus projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","DeleteATask","Delete a task","Hapus tugasan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ConfirmDeleteAProject","Are you sure you want to delete this project?","Adakah anda pasti mahu menghapuskan projek ini?","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ConfirmDeleteATask","Are you sure you want to delete this task?","Adakah anda pasti mahu menghapuskan tugasan ini?","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OpenedProjects","Open projects","Projek terbuka","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OpenedProjectsOpportunities","Open opportunities","Peluang terbuka","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OpenedTasks","Open tasks","Tugasan terbuka","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OpportunitiesStatusForOpenedProjects","Leads amount of open projects by status","Jumlah prospek bagi projek terbuka mengikut status","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","OpportunitiesStatusForProjects","Leads amount of projects by status","Jumlah prospek projek mengikut status","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ShowProject","Show project","Papar projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","ShowTask","Show task","Papar tugasan","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","SetThirdParty","Set third party","Tetapkan pihak ketiga","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
"lang/ms_MY/projects.lang","SetProject","Set project","Tetapkan projek","ready","Sprint 22C projects.lang + install.lang bulk batch 6"
